ac_number,constituency,winner_2026,winning_party_2026,winner_votes_2026,total_votes_polled_2026,total_electors_2026,turnout_2026,reserved,region,winner_2021,winning_party_2021,winner_votes_2021,total_votes_polled_2021,total_electors_2021,turnout_2021,turnout_delta,seat_flipped,winner_vote_share_2026,winner_vote_share_2021,margin_2021,margin_2026
1,Gummidipoondi,S.VIJAYAKUMAR,TVK,94320,232522,254129,91.5,GEN,Chennai Metro,GOVINDARAJAN T.J,DMK,126452,222069,284412,78.08,13.420000000000002,True,40.56,56.94,50938,27945
2,Ponneri,DR.RAVI.M.S,TVK,110439,226819,251397,90.22,SC,Chennai Metro,DURAI. CHANDRASEKAR,INC,94528,210354,268995,78.2,12.019999999999996,True,48.69,44.94,9689,55768
3,Tiruttani,G.HARI,AIADMK,89169,238798,261857,91.19,GEN,Chennai Metro,S.Chandran,DMK,120314,232624,295358,78.76,12.429999999999993,True,37.34,51.72,29253,5793
4,Thiruvallur,DR. T. ARUNKUMAR,TVK,92190,226428,251018,90.2,GEN,Chennai Metro,"RAAJENDRAN, V.G.",DMK,107709,214243,277517,77.2,13.0,True,40.71,50.27,22701,24760
5,Poonamallee,PRAKASAM.R,TVK,161309,308894,368634,83.79,SC,Chennai Metro,Krishnaswamy A,DMK,149578,263736,361332,72.99,10.800000000000011,True,52.22,56.72,94110,72740
6,Avadi,R.RAMESH KUMAR,TVK,180384,346005,436177,79.33,GEN,Chennai Metro,Nasar S M,DMK,150287,300927,446678,67.37,11.959999999999994,True,52.13,49.94,55275,76311
7,Maduravoyal,RHEVANTH CHARAN,TVK,141725,293692,373283,78.68,GEN,Chennai Metro,GANAPATHY.K,DMK,121298,273870,454179,60.3,18.38000000000001,True,48.26,44.29,31721,61509
8,Ambattur,BALAMURUGAN.G,TVK,133339,259986,337019,77.14,GEN,Chennai Metro,JOSEPH SAMUEL,DMK,114554,240299,387517,62.01,15.130000000000003,True,51.29,47.67,42146,58781
9,Madavaram,M.L.VIJAYPRABHU,TVK,190462,361998,431796,83.84,GEN,Chennai Metro,SUDHARSANAM. S,DMK,151485,302700,456080,66.37,17.47,True,52.61,50.04,57071,94985
10,Thiruvottiyur,SENTHIL KUMAR. N,TVK,110067,207088,244903,84.56,GEN,Chennai Metro,K.P.SHANKAR,DMK,88185,199996,306978,65.15,19.409999999999997,True,53.15,44.09,37661,53564
11,Dr.Radhakrishnan Nagar,N. MARIE WILSON,TVK,97800,181206,199359,90.89,GEN,Chennai Metro,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,187027,263493,70.98,19.909999999999997,True,53.97,51.2,42479,49668
12,Perambur,C. JOSEPH VIJAY,TVK,120365,204384,226296,90.32,GEN,Chennai Metro,SHEKAR. R.D,DMK,105267,200387,318075,63.0,27.319999999999993,True,58.89,52.53,54976,53715
